Mean,Median,Mode,Kurtosis,Skewness,Standard Deviation,Variance,Standard Error,Max,Min,Sum,Range,2nd Quartile,RMS,Count,Shape Factor,Impulse Factor,K Factor,Condition
-0.000119454,-0.004148815,-0.060729034,0.727538694,0.192642009,0.208702534,0.043556748,0.003811005,0.92199904,-0.80078143,-0.358361535,1.72278047,-0.004148815,0.208702568,3000,1.291998681,5.707747422,0.226358769,Healthy
0.000220949,-0.006253287,0.077324294,0.68037436,0.206606999,0.205602134,0.042272238,0.00375439,0.90335941,-0.70457703,0.662847924,1.60793644,-0.006253287,0.205602253,3000,1.294769209,5.68885765,0.2275974,Healthy
-0.000475651,-0.006914692,-0.13504694,0.223091177,0.14938517,0.221596631,0.049105067,0.004046457,0.90347964,-0.71828616,-1.426951806,1.6217658,-0.006914692,0.221597142,3000,1.273783121,5.193375266,0.245270764,Healthy
7.47E-05,-0.002465238,0.031627201,0.591285288,0.122835984,0.211531086,0.044745401,0.003862655,0.83854169,-0.80511063,0.224036364,1.64365232,-0.002465238,0.2115311,3000,1.290379361,5.115261502,0.252260683,Healthy
0.000320601,-0.010642613,-0.20720024,0.841572114,0.178411286,0.218706685,0.047832614,0.003993685,1.2405559,-0.87690318,0.961803806,2.11745908,-0.010642613,0.21870692,3000,1.285541243,7.29188529,0.176297513,Healthy
-0.000630259,-0.003427282,-0.087666266,0.207260945,0.135730292,0.209041382,0.043698299,0.003817192,0.73391938,-0.67667776,-1.89077694,1.41059714,-0.003427282,0.209042332,3000,1.264149508,4.438258101,0.284830102,Healthy
-0.000930016,-0.002405111,0.026816979,0.549281257,0.096437891,0.218421267,0.04770785,0.003988473,0.83721888,-0.81449056,-2.790048283,1.65170944,-0.002405111,0.218423247,3000,1.295053138,4.96395395,0.260891449,Healthy
0.00066842,-0.001683577,-0.024892891,0.29382081,0.044372625,0.220162111,0.048471355,0.004020262,0.86078894,-0.81268674,2.005260418,1.67347568,-0.001683577,0.220163126,3000,1.268519421,4.959629287,0.255769,Healthy
0.001650186,-0.001022172,-0.077444553,0.478729773,0.204102585,0.198856744,0.039544005,0.003631216,0.80919933,-0.64312649,4.950558111,1.45232582,-0.001022172,0.198863591,3000,1.287393552,5.238555705,0.245753529,Healthy
-0.002604855,-0.003667793,-0.10678689,0.316325895,0.130877499,0.203415137,0.041377718,0.003714454,0.76903403,-0.75616664,-7.814563786,1.52520067,-0.003667793,0.203431815,3000,1.281100024,4.842947079,0.264529016,Healthy
-0.00149217,-0.002826004,-0.12735058,0.44760506,0.115115266,0.204968533,0.042012099,0.00374282,0.76590735,-0.74378037,-4.476511018,1.50968772,-0.002826004,0.204973964,3000,1.282771934,4.793215839,0.267622401,Healthy
0.001640085,-0.004208943,-0.043773007,0.450531878,0.084410765,0.215871581,0.04660054,0.003941915,1.0347987,-0.80294603,4.920253705,1.83774473,-0.004208943,0.215877811,3000,1.266482063,6.070813783,0.20861817,Healthy
0.000281759,0.000360767,-0.14334457,0.64487423,0.173422554,0.197663479,0.039070851,0.003609426,0.87786525,-0.65587354,0.845276045,1.53373879,0.000360767,0.197663679,3000,1.293580084,5.745056487,0.225164032,Healthy
-0.00091318,-0.003246899,-0.10414127,0.21990345,0.069888604,0.208507042,0.043475186,0.003807435,0.76614785,-0.77949625,-2.739540857,1.5456441,-0.003246899,0.208509041,3000,1.27722488,4.77481455,0.267492039,Healthy
-0.00016499,-0.004088688,-0.1354077,0.525299561,0.179108427,0.202700164,0.041087356,0.003701399,0.83204788,-0.7501539,-0.494971388,1.58220178,-0.004088688,0.202700231,3000,1.292131517,5.303966777,0.243616065,Healthy
0.000563558,-0.002465238,0.089710616,0.772361786,0.121388533,0.203870322,0.041563108,0.003722766,0.87089044,-0.83216816,1.690672584,1.7030586,-0.002465238,0.2038711,3000,1.292479818,5.521176443,0.234095003,Healthy
0.000617272,-0.002765877,0.031266432,0.602544173,0.198224402,0.187278741,0.035073327,0.003419796,0.79621172,-0.71792543,1.851814633,1.51413715,-0.002765877,0.187279758,3000,1.301007271,5.531175638,0.235213516,Healthy
0.000250092,-0.001382939,-0.15861702,0.360282891,0.079323368,0.191640601,0.03672612,0.003499446,0.71912795,-0.68184876,0.750274623,1.40097671,-0.001382939,0.191640764,3000,1.284610727,4.820474831,0.266490496,Healthy
0.000122821,-0.005231115,-0.023570081,0.237563982,-0.012877546,0.200633579,0.040253833,0.003663662,0.6582787,-0.63663268,0.368462323,1.29491138,-0.005231115,0.200633617,3000,1.275919732,4.18629139,0.304785218,Healthy
-0.001663735,-0.002645621,-0.097887985,0.367019795,0.031270869,0.183588169,0.033704616,0.003352405,0.76698965,-0.659361,-4.991205169,1.42635065,-0.002645621,0.183595707,3000,1.269964328,5.305404527,0.239371818,Healthy
0.000572737,-0.000601278,-0.022006759,-0.083914918,0.076271092,0.195647069,0.038277776,0.003572606,0.67920315,-0.70926702,1.718210647,1.38847017,-0.000601278,0.195647907,3000,1.246060782,4.517246463,0.275845206,Healthy
0.001353877,-0.000240512,-0.10101463,0.253133349,0.001473492,0.189808289,0.036027187,0.003465987,0.87413734,-0.66284841,4.061629924,1.53698575,-0.000240512,0.189813118,3000,1.264993894,5.825616325,0.217143358,Healthy
0.000607811,0.00294626,-0.096925944,0.254455204,0.045807379,0.197279789,0.038919315,0.00360242,0.81328803,-0.70433652,1.823434242,1.51762455,0.00294626,0.197280726,3000,1.273305619,5.249191039,0.242571781,Healthy
-0.001154894,-0.004329199,-0.036677931,0.305073679,0.074371052,0.192489185,0.037052086,0.003514941,0.86728275,-0.65839893,-3.464681966,1.52568168,-0.004329199,0.192492649,3000,1.260786857,5.680521808,0.221949127,Healthy
